Entity,Code,Year,Coal Consumption - TWh
Africa,,1965,323.4961383333333
Africa,,1966,323.12219333333337
Africa,,1967,330.2915847222222
Africa,,1968,343.5129108333333
Africa,,1969,346.64292166666667
Africa,,1970,360.75689944444446
Africa,,1971,383.0123186111111
Africa,,1972,384.2108033333333
Africa,,1973,408.9103533333333
Africa,,1974,425.6462261111111
Africa,,1975,451.0805036111111
Africa,,1976,481.0741561111111
Africa,,1977,491.698455
Africa,,1978,477.81558277777776
Africa,,1979,507.2469963888889
Africa,,1980,543.5570594444445
Africa,,1981,635.7987833333334
Africa,,1982,701.1758825000001
Africa,,1983,713.2460472222223
Africa,,1984,762.8978716666667
Africa,,1985,787.1658894444444
Africa,,1986,805.3560963888889
Africa,,1987,828.3197322222222
Africa,,1988,890.1608047222222
Africa,,1989,835.6208619444444
Africa,,1990,877.8098613888889
Africa,,1991,853.1945686111111
Africa,,1992,858.3007480555555
Africa,,1993,871.6152063888889
Africa,,1994,894.1687308333334
Africa,,1995,921.80284
Africa,,1996,934.5518386111112
Africa,,1997,958.3213991666668
Africa,,1998,936.3072786111112
Africa,,1999,965.48062
Africa,,2000,963.273915
Africa,,2001,975.5876619444444
Africa,,2002,934.1009275
Africa,,2003,1016.712642222222
Africa,,2004,1118.2899991666666
Africa,,2005,1038.0312477777777
Africa,,2006,1052.7660088888888
Africa,,2007,1070.1837125
Africa,,2008,1179.483909722222
Africa,,2009,1174.4275441666666
Africa,,2010,1162.9921355555557
Africa,,2011,1145.844919722222
Africa,,2012,1117.771956111111
Africa,,2013,1129.611669722222
Africa,,2014,1183.1220594444444
Africa,,2015,1117.560296388889
Africa,,2016,1187.789695833333
Africa,,2017,1187.481281111111
Africa,,2018,1167.454926111111
Africa,,2019,1199.2301322222222
Africa,,2020,1141.118618888889
Algeria,DZA,1965,0.8141
Algeria,DZA,1966,0.79084
Algeria,DZA,1967,0.60476
Algeria,DZA,1968,0.63965
Algeria,DZA,1969,0.8141
Algeria,DZA,1970,0.96529
Algeria,DZA,1971,0.26749
Algeria,DZA,1972,0.2326
Algeria,DZA,1973,0.26749
Algeria,DZA,1974,0.2209699999999999
Algeria,DZA,1975,0.27912
Algeria,DZA,1976,0.5466099999999999
Algeria,DZA,1977,0.70943
Algeria,DZA,1978,0.3605299999999999
Algeria,DZA,1979,0.83736
Algeria,DZA,1980,0.74432
Algeria,DZA,1981,0.52335
Algeria,DZA,1982,9.71105
Algeria,DZA,1983,8.664349999999999
Algeria,DZA,1984,9.60638
Algeria,DZA,1985,10.02506
Algeria,DZA,1986,10.29255
Algeria,DZA,1987,12.30454
Algeria,DZA,1988,11.57185
Algeria,DZA,1989,9.78083
Algeria,DZA,1990,7.66417
Algeria,DZA,1991,7.9084
Algeria,DZA,1992,9.39704
Algeria,DZA,1993,7.65254
Algeria,DZA,1994,7.2106
Algeria,DZA,1995,7.2106
Algeria,DZA,1996,3.39596
Algeria,DZA,1997,5.95456
Algeria,DZA,1998,6.37324
Algeria,DZA,1999,6.82681
Algeria,DZA,2000,5.64055
Algeria,DZA,2001,6.5128
Algeria,DZA,2002,8.54805
Algeria,DZA,2003,7.04778
Algeria,DZA,2004,8.40849
Algeria,DZA,2005,6.90822
Algeria,DZA,2006,10.25766
Algeria,DZA,2007,8.80391
Algeria,DZA,2008,8.80391
Algeria,DZA,2009,5.65218
Algeria,DZA,2010,3.6053
Algeria,DZA,2011,3.19825
Algeria,DZA,2012,3.39596
Algeria,DZA,2013,1.83754
Algeria,DZA,2014,2.08177
Algeria,DZA,2015,1.54679
Algeria,DZA,2016,0.56987
Algeria,DZA,2017,2.11666
Algeria,DZA,2018,5.815
Algeria,DZA,2019,4.80319
Algeria,DZA,2020,4.80319
Argentina,ARG,1965,8.455049166666667
Argentina,ARG,1966,6.971818333333333
Argentina,ARG,1967,7.840396944444445
Argentina,ARG,1968,7.619035277777778
Argentina,ARG,1969,9.12217
Argentina,ARG,1970,11.722598333333334
Argentina,ARG,1971,10.277541944444444
Argentina,ARG,1972,8.651295
Argentina,ARG,1973,9.496521944444444
Argentina,ARG,1974,11.825921944444444
Argentina,ARG,1975,11.510940277777776
Argentina,ARG,1976,11.642585277777776
Argentina,ARG,1977,11.008503055555556
Argentina,ARG,1978,13.419195277777778
Argentina,ARG,1979,12.501673888888888
Argentina,ARG,1980,11.14458972222222
Argentina,ARG,1981,10.560467222222222
Argentina,ARG,1982,10.66607611111111
Argentina,ARG,1983,9.679963333333331
Argentina,ARG,1984,7.185223611111111
Argentina,ARG,1985,10.599605833333332
Argentina,ARG,1986,12.109349444444444
Argentina,ARG,1987,13.439672777777778
Argentina,ARG,1988,13.772349722222222
Argentina,ARG,1989,14.902768055555557
Argentina,ARG,1990,12.266132222222222
Argentina,ARG,1991,10.7940125
Argentina,ARG,1992,12.16816361111111
Argentina,ARG,1993,8.069987222222222
Argentina,ARG,1994,7.0651069444444445
Argentina,ARG,1995,7.414152499999999
Argentina,ARG,1996,7.766816111111111
Argentina,ARG,1997,6.127713888888889
