Entity,Code,Year,Oil Consumption - TWh
Africa,,1965,327.33316444444444
Africa,,1966,358.1326738888889
Africa,,1967,355.28145861111113
Africa,,1968,374.8521305555555
Africa,,1969,379.9730861111111
Africa,,1970,419.8099002777777
Africa,,1971,474.4581836111111
Africa,,1972,514.2536772222222
Africa,,1973,553.1083622222222
Africa,,1974,572.2501369444445
Africa,,1975,598.7911399999999
Africa,,1976,664.2742522222222
Africa,,1977,703.373181388889
Africa,,1978,740.625191111111
Africa,,1979,789.8455275
Africa,,1980,835.2707033333334
Africa,,1981,887.8791961111111
Africa,,1982,932.2492286111112
Africa,,1983,963.1884741666668
Africa,,1984,985.0113427777776
Africa,,1985,1007.608725
Africa,,1986,992.4227591666668
Africa,,1987,1047.2105469444443
Africa,,1988,1090.4672349999998
Africa,,1989,1130.0311427777776
Africa,,1990,1145.123741111111
Africa,,1991,1148.6610069444444
Africa,,1992,1171.7377780555555
Africa,,1993,1181.508105
Africa,,1994,1221.5419658333333
Africa,,1995,1264.9708244444444
Africa,,1996,1296.4831547222225
Africa,,1997,1331.6567583333333
Africa,,1998,1363.7691558333331
Africa,,1999,1414.1560838888888
Africa,,2000,1421.5153769444444
Africa,,2001,1434.9808241666667
Africa,,2002,1467.215869722222
Africa,,2003,1507.7376547222225
Africa,,2004,1557.3242830555555
Africa,,2005,1650.4034141666666
Africa,,2006,1658.4732472222222
Africa,,2007,1717.3990269444444
Africa,,2008,1805.798055
Africa,,2009,1876.0583280555556
Africa,,2010,1966.0737875
Africa,,2011,1911.735672222222
Africa,,2012,2017.0145522222224
Africa,,2013,2090.719525
Africa,,2014,2123.7742491666663
Africa,,2015,2197.0032358333333
Africa,,2016,2214.010135833333
Africa,,2017,2229.898823055555
Africa,,2018,2271.5887197222223
Africa,,2019,2299.14435
Africa,,2020,1996.2920572222224
Algeria,DZA,1965,15.405251944444444
Algeria,DZA,1966,20.272705277777774
Algeria,DZA,1967,18.942031111111117
Algeria,DZA,1968,20.167301388888887
Algeria,DZA,1969,21.30593
Algeria,DZA,1970,24.34768083333333
Algeria,DZA,1971,27.44005027777777
Algeria,DZA,1972,30.121414166666664
Algeria,DZA,1973,32.900345
Algeria,DZA,1974,36.54384083333333
Algeria,DZA,1975,40.6306675
Algeria,DZA,1976,46.7177325
Algeria,DZA,1977,52.80649361111111
Algeria,DZA,1978,54.60794472222222
Algeria,DZA,1979,65.31861722222223
Algeria,DZA,1980,66.20243
Algeria,DZA,1981,71.32307277777777
Algeria,DZA,1982,75.57341777777776
Algeria,DZA,1983,84.8924211111111
Algeria,DZA,1984,94.00200638888889
Algeria,DZA,1985,96.55380305555556
Algeria,DZA,1986,98.02125416666668
Algeria,DZA,1987,99.10052388888889
Algeria,DZA,1988,99.1725986111111
Algeria,DZA,1989,103.9366611111111
Algeria,DZA,1990,111.81161583333332
Algeria,DZA,1991,110.6277861111111
Algeria,DZA,1992,111.29265555555556
Algeria,DZA,1993,110.75487666666666
Algeria,DZA,1994,106.05089583333331
Algeria,DZA,1995,103.14228277777778
Algeria,DZA,1996,98.42207972222222
Algeria,DZA,1997,97.64341944444443
Algeria,DZA,1998,100.65874805555556
Algeria,DZA,1999,98.89834583333334
Algeria,DZA,2000,103.1324797222222
Algeria,DZA,2001,106.77533388888888
Algeria,DZA,2002,118.39722972222222
Algeria,DZA,2003,123.17411805555555
Algeria,DZA,2004,128.74683027777778
Algeria,DZA,2005,134.213385
Algeria,DZA,2006,139.84572083333333
Algeria,DZA,2007,156.38999638888887
Algeria,DZA,2008,169.91589638888888
Algeria,DZA,2009,180.13442944444444
Algeria,DZA,2010,181.6119161111111
Algeria,DZA,2011,192.22765305555555
Algeria,DZA,2012,204.39526777777775
Algeria,DZA,2013,213.576385
Algeria,DZA,2014,221.92515277777775
Algeria,DZA,2015,236.14848333333333
Algeria,DZA,2016,229.5638513888889
Algeria,DZA,2017,225.51211583333333
Algeria,DZA,2018,229.33779805555557
Algeria,DZA,2019,237.00309555555555
Algeria,DZA,2020,201.25485111111112
Argentina,ARG,1965,275.24028166666665
Argentina,ARG,1966,283.8862780555555
Argentina,ARG,1967,290.7273016666666
Argentina,ARG,1968,296.77116166666667
Argentina,ARG,1969,307.97903444444444
Argentina,ARG,1970,278.4058394444444
Argentina,ARG,1971,296.48773416666666
Argentina,ARG,1972,295.1728380555556
Argentina,ARG,1973,297.23879916666664
Argentina,ARG,1974,297.09722666666664
Argentina,ARG,1975,281.26943027777776
Argentina,ARG,1976,290.1952763888889
Argentina,ARG,1977,305.6309725
